zip code,state,total population,urban population,rural population,urban percent,rural percent,housing units,housing units urban,housing units rural,housing units urban percent,housing units rural percent,land area,population density
90001,CA,57110,57110,0,100,0,13788,13788,0,100,0,3.502,16305.625
90002,CA,51223,51223,0,100,0,12598,12598,0,100,0,3.062,16728.31
90003,CA,66266,66266,0,100,0,17127,17127,0,100,0,3.551,18660.016
90004,CA,62180,62180,0,100,0,24278,24278,0,100,0,3.048,20399.618
90005,CA,37681,37681,0,100,0,16345,16345,0,100,0,1.084,34760.921
90006,CA,59185,59185,0,100,0,20332,20332,0,100,0,1.92,30828.8
90007,CA,40920,40920,0,100,0,12762,12762,0,100,0,2.466,16593.394
90008,CA,32327,32327,0,100,0,15006,15006,0,100,0,3.673,8800.879
90010,CA,3800,3800,0,100,0,2382,2382,0,100,0,0.457,8309.338
90011,CA,103892,103892,0,100,0,23547,23547,0,100,0,4.286,24240.428
90012,CA,31103,31103,0,100,0,11370,11370,0,100,0,3.234,9617.916
90013,CA,11772,11772,0,100,0,7516,7516,0,100,0,0.671,17545.993
90014,CA,7005,7005,0,100,0,4990,4990,0,100,0,0.283,24736.775
90015,CA,18986,18986,0,100,0,8245,8245,0,100,0,1.711,11099.645
90016,CA,47596,47596,0,100,0,17204,17204,0,100,0,3.627,13122.643
90017,CA,23768,23768,0,100,0,10610,10610,0,100,0,0.726,32725.314
90018,CA,49310,49310,0,100,0,16658,16658,0,100,0,2.896,17027.597
90019,CA,64458,64458,0,100,0,25116,25116,0,100,0,3.888,16578.408
90020,CA,38967,38967,0,100,0,17900,17900,0,100,0,1.13,34474.723
90021,CA,3951,3951,0,100,0,1761,1761,0,100,0,2.07,1908.245
90022,CA,67179,67179,0,100,0,17713,17713,0,100,0,4.381,15334.351
90023,CA,45903,45903,0,100,0,11259,11259,0,100,0,4.225,10865.856
90024,CA,47452,47452,0,100,0,19932,19932,0,100,0,2.938,16153.583
90025,CA,42147,42147,0,100,0,23058,23058,0,100,0,2.57,16402.312
90026,CA,67869,67869,0,100,0,26686,26686,0,100,0,4.225,16063.39
90027,CA,45151,45141,10,99.98,0.02,23390,23386,4,99.98,0.02,8.264,5463.789
90028,CA,28714,28714,0,100,0,17126,17126,0,100,0,1.524,18837.684
90029,CA,38617,38617,0,100,0,14723,14723,0,100,0,1.362,28358.533
90031,CA,39316,39316,0,100,0,11903,11903,0,100,0,3.454,11382.521
90032,CA,45786,45786,0,100,0,13521,13521,0,100,0,4.767,9604.334
90033,CA,48852,48852,0,100,0,13690,13690,0,100,0,3.267,14953.516
90034,CA,57964,57964,0,100,0,27210,27210,0,100,0,3.113,18620.724
90035,CA,28418,28418,0,100,0,14030,14030,0,100,0,2.058,13808.485
90036,CA,36865,36865,0,100,0,19920,19920,0,100,0,2.471,14921.899
90037,CA,62276,62276,0,100,0,17192,17192,0,100,0,2.838,21941.24
90038,CA,28917,28917,0,100,0,12812,12812,0,100,0,1.566,18459.647
90039,CA,28514,28514,0,100,0,12127,12127,0,100,0,3.77,7563.259
90040,CA,12520,12520,0,100,0,3397,3397,0,100,0,5.581,2243.314
90041,CA,27425,27425,0,100,0,9998,9998,0,100,0,3.611,7594.542
90042,CA,62430,62430,0,100,0,21018,21018,0,100,0,4.644,13443.721
90043,CA,44789,44789,0,100,0,17172,17172,0,100,0,4.134,10835.506
90044,CA,89779,89779,0,100,0,27479,27479,0,100,0,5.137,17478.171
90045,CA,39480,39480,0,100,0,16127,16127,0,100,0,10.726,3680.93
90046,CA,48581,48581,0,100,0,30688,30688,0,100,0,5.78,8404.53
90047,CA,48606,48606,0,100,0,17150,17150,0,100,0,4.73,10275.087
90048,CA,21397,21397,0,100,0,12939,12939,0,100,0,1.885,11349.872
90049,CA,35482,33735,1747,95.08,4.92,18097,17375,722,96.01,3.99,15.021,2362.108
90056,CA,7827,7827,0,100,0,3518,3518,0,100,0,1.58,4955.283
90057,CA,44998,44998,0,100,0,17247,17247,0,100,0,0.886,50810.47
90058,CA,3223,3223,0,100,0,921,921,0,100,0,5.808,554.93
90059,CA,40952,40952,0,100,0,10617,10617,0,100,0,3.313,12359.216
90061,CA,26872,26872,0,100,0,7385,7385,0,100,0,2.662,10093.701
90062,CA,32821,32821,0,100,0,9795,9795,0,100,0,1.934,16972.899
90063,CA,55758,55758,0,100,0,14012,14012,0,100,0,3.273,17037.618
90064,CA,25403,25403,0,100,0,11540,11540,0,100,0,4,6350.439
90065,CA,45527,45527,0,100,0,15288,15288,0,100,0,5.279,8624.789
90066,CA,55277,55277,0,100,0,25319,25319,0,100,0,4.922,11231.434
90067,CA,2424,2424,0,100,0,1808,1808,0,100,0,0.328,7386.949
90068,CA,22286,22282,4,99.98,0.02,13901,13898,3,99.98,0.02,7.618,2925.33
90069,CA,20483,20483,0,100,0,14781,14781,0,100,0,2.114,9688.241
90071,CA,15,15,0,100,0,0,0,0,0,0,0.123,121.727
90073,CA,539,539,0,100,0,4,4,0,100,0,0.339,1591.116
90077,CA,9377,9377,0,100,0,3888,3888,0,100,0,7.331,1279.173
90079,CA,0,0,0,0,0,0,0,0,0,0,0.01,0
90089,CA,3217,3217,0,100,0,31,31,0,100,0,0.287,11217.624
90090,CA,0,0,0,0,0,0,0,0,0,0,0.231,0
90094,CA,5464,5464,0,100,0,3168,3168,0,100,0,0.611,8941.992
90095,CA,3,3,0,100,0,2,2,0,100,0,0.395,7.591
90201,CA,101279,101279,0,100,0,24940,24940,0,100,0,5.936,17060.45
90210,CA,21741,21741,0,100,0,9563,9563,0,100,0,10.126,2147.045
90211,CA,8434,8434,0,100,0,4052,4052,0,100,0,0.7,12042.006
90212,CA,11555,11555,0,100,0,6170,6170,0,100,0,0.955,12095.934
90220,CA,49328,49328,0,100,0,13498,13498,0,100,0,6.91,7138.152
90221,CA,53704,53704,0,100,0,12368,12368,0,100,0,5.332,10072.201
90222,CA,31869,31869,0,100,0,8026,8026,0,100,0,2.557,12464.805
90230,CA,31766,31766,0,100,0,13344,13344,0,100,0,4.507,7048.382
90232,CA,15149,15149,0,100,0,6944,6944,0,100,0,2.106,7192.835
90240,CA,25876,25876,0,100,0,7991,7991,0,100,0,2.944,8789.466
90241,CA,42399,42399,0,100,0,14316,14316,0,100,0,4.926,8607.293
90242,CA,43497,43497,0,100,0,13294,13294,0,100,0,4.551,9558.531
90245,CA,16654,16654,0,100,0,7410,7410,0,100,0,5.463,3048.735
90247,CA,47487,47487,0,100,0,16620,16620,0,100,0,3.754,12649.116
90248,CA,9947,9947,0,100,0,3573,3573,0,100,0,4.693,2119.421
90249,CA,26669,26669,0,100,0,9214,9214,0,100,0,2.978,8955.594
90250,CA,93193,93193,0,100,0,32600,32600,0,100,0,6.695,13919.618
90254,CA,19506,19506,0,100,0,10162,10162,0,100,0,1.427,13664.703
90255,CA,75066,75066,0,100,0,19118,19118,0,100,0,3.718,20189.24
90260,CA,34924,34924,0,100,0,10879,10879,0,100,0,2.68,13030.969
90262,CA,69745,69745,0,100,0,15266,15266,0,100,0,4.833,14430.902
90263,CA,1612,1612,0,100,0,0,0,0,0,0,0.226,7135.319
90265,CA,18116,12929,5187,71.37,28.63,9033,6902,2131,76.41,23.59,107.794,168.062
90266,CA,35135,35135,0,100,0,14929,14929,0,100,0,3.936,8925.874
90270,CA,27372,27372,0,100,0,6761,6761,0,100,0,1.262,21694.246
90272,CA,22986,22818,168,99.27,0.73,9815,9732,83,99.15,0.85,22.832,1006.755
90274,CA,25209,25209,0,100,0,9941,9941,0,100,0,11.97,2105.968
90275,CA,41804,41804,0,100,0,16236,16236,0,100,0,13.515,3093.07
90277,CA,35293,35293,0,100,0,18062,18062,0,100,0,3.583,9850.372
90278,CA,40071,40071,0,100,0,16655,16655,0,100,0,3.604,11119.837
90280,CA,94396,94396,0,100,0,24160,24160,0,100,0,7.305,12921.975
90290,CA,6368,4437,1931,69.68,30.32,2867,1964,903,68.5,31.5,20.052,317.568
90291,CA,28341,28341,0,100,0,16212,16212,0,100,0,2.495,11358.867
90292,CA,21576,21576,0,100,0,14585,14585,0,100,0,2.039,10583.054
90293,CA,12132,12132,0,100,0,6968,6968,0,100,0,2.865,4234.597
90301,CA,36568,36568,0,100,0,12565,12565,0,100,0,2.478,14759.836
90302,CA,29415,29415,0,100,0,11431,11431,0,100,0,1.893,15537.453
90303,CA,26176,26176,0,100,0,7646,7646,0,100,0,2.219,11798.952
90304,CA,28210,28210,0,100,0,6946,6946,0,100,0,1.567,18006.919
90305,CA,14853,14853,0,100,0,6166,6166,0,100,0,2.319,6404.125
90401,CA,6722,6722,0,100,0,4682,4682,0,100,0,0.849,7916.592
90402,CA,12250,12250,0,100,0,5945,5945,0,100,0,2.004,6113.273
90403,CA,24525,24525,0,100,0,15172,15172,0,100,0,1.428,17179.943
90404,CA,21360,21360,0,100,0,10865,10865,0,100,0,1.992,10722.63
90405,CA,27186,27186,0,100,0,15370,15370,0,100,0,2.647,10272.091
90501,CA,43180,43180,0,100,0,15364,15364,0,100,0,5.624,7678.032
90502,CA,18010,18010,0,100,0,5939,5939,0,100,0,2.235,8058.556
90503,CA,44383,44383,0,100,0,17948,17948,0,100,0,5.297,8378.625
90504,CA,32102,32102,0,100,0,11986,11986,0,100,0,4.451,7212.606
90505,CA,36678,36678,0,100,0,14846,14846,0,100,0,5.794,6329.964
90506,CA,0,0,0,0,0,0,0,0,0,0,0.157,0
90601,CA,31974,31974,0,100,0,11549,11549,0,100,0,11.347,2817.81
90602,CA,25777,25777,0,100,0,8451,8451,0,100,0,3.71,6947.045
90603,CA,20063,20063,0,100,0,7007,7007,0,100,0,3.27,6135.608
90604,CA,39407,39407,0,100,0,12326,12326,0,100,0,4.261,9247.623
90605,CA,40331,40331,0,100,0,10897,10897,0,100,0,5.652,7135.763
90606,CA,32396,32396,0,100,0,8931,8931,0,100,0,3.783,8563.526
90620,CA,45113,45113,0,100,0,13680,13680,0,100,0,6.391,7058.394
90621,CA,35153,35153,0,100,0,10803,10803,0,100,0,4.142,8486.602
90623,CA,15554,15554,0,100,0,5215,5215,0,100,0,1.812,8581.669
90630,CA,47993,47993,0,100,0,16204,16204,0,100,0,6.125,7835.039
90631,CA,67619,67619,0,100,0,22497,22497,0,100,0,13.904,4863.331
90638,CA,49012,49012,0,100,0,15236,15236,0,100,0,7.883,6217.385
90640,CA,62549,62549,0,100,0,19785,19785,0,100,0,8.491,7366.78
90650,CA,105549,105549,0,100,0,28083,28083,0,100,0,9.808,10761.217
90660,CA,62928,62928,0,100,0,17106,17106,0,100,0,7.75,8120.068
90670,CA,14866,14866,0,100,0,4616,4616,0,100,0,8.463,1756.664
90680,CA,29945,29945,0,100,0,8848,8848,0,100,0,2.695,11109.591
90701,CA,16591,16591,0,100,0,4715,4715,0,100,0,1.63,10178.425
90703,CA,49399,49399,0,100,0,15946,15946,0,100,0,8.78,5626.287
90704,CA,4090,3652,438,89.29,10.71,2481,2244,237,90.45,9.55,74.795,54.683
90706,CA,76615,76615,0,100,0,24896,24896,0,100,0,6.108,12543.137
90710,CA,25457,25457,0,100,0,9061,9061,0,100,0,2.358,10796.527
90712,CA,31499,31499,0,100,0,11155,11155,0,100,0,4.286,7348.852
90713,CA,27925,27925,0,100,0,9711,9711,0,100,0,3.394,8228.064
90715,CA,20388,20388,0,100,0,6406,6406,0,100,0,1.7,11989.623
90716,CA,14184,14184,0,100,0,3652,3652,0,100,0,0.931,15233.461
90717,CA,21318,21318,0,100,0,8887,8887,0,100,0,1.98,10767.03
90720,CA,21751,21751,0,100,0,8010,8010,0,100,0,6.127,3550.182
90723,CA,54099,54099,0,100,0,14572,14572,0,100,0,4.685,11547.445
90731,CA,59662,59662,0,100,0,23914,23914,0,100,0,9.19,6491.756
90732,CA,21115,21115,0,100,0,9250,9250,0,100,0,3.438,6142.5
90740,CA,23729,23729,0,100,0,14303,14303,0,100,0,8.774,2704.318
90742,CA,831,831,0,100,0,556,556,0,100,0,0.185,4497.437
90743,CA,456,456,0,100,0,256,256,0,100,0,0.083,5507.683
90744,CA,53815,53815,0,100,0,14684,14684,0,100,0,8.337,6454.795
90745,CA,57251,57251,0,100,0,15680,15680,0,100,0,8.301,6897.113
90746,CA,25990,25990,0,100,0,8271,8271,0,100,0,5.833,4455.888
90747,CA,0,0,0,0,0,0,0,0,0,0,0.006,0
90755,CA,11074,11074,0,100,0,4404,4404,0,100,0,2.179,5081.148
90802,CA,39347,39347,0,100,0,23071,23071,0,100,0,6.483,6069.09
90803,CA,32031,32031,0,100,0,18682,18682,0,100,0,3.998,8012.735
90804,CA,40311,40311,0,100,0,15792,15792,0,100,0,2.115,19061.094
90805,CA,93524,93524,0,100,0,27646,27646,0,100,0,7.369,12691.737
90806,CA,42399,42399,0,100,0,13072,13072,0,100,0,3.439,12327.107
90807,CA,31481,31481,0,100,0,13256,13256,0,100,0,5.84,5391.003
90808,CA,38232,38232,0,100,0,14567,14567,0,100,0,6.866,5568.196
90810,CA,36735,36735,0,100,0,9709,9709,0,100,0,6.696,5486.17
90813,CA,58911,58911,0,100,0,17896,17896,0,100,0,3.209,18359.97
90814,CA,19131,19131,0,100,0,9808,9808,0,100,0,1.355,14122.15
90815,CA,39733,39733,0,100,0,15409,15409,0,100,0,7.122,5578.799
90822,CA,117,117,0,100,0,4,4,0,100,0,0.162,720.063
90831,CA,0,0,0,0,0,0,0,0,0,0,0.042,0
91001,CA,36126,36122,4,99.99,0.01,13285,13271,14,99.89,0.11,8.271,4367.884
91006,CA,31715,31715,0,100,0,11142,11142,0,100,0,6.319,5019.368
91007,CA,34095,34095,0,100,0,12750,12750,0,100,0,5.558,6134.265
91008,CA,1391,1391,0,100,0,640,640,0,100,0,2.024,687.142
91010,CA,26074,26069,5,99.98,0.02,8256,8252,4,99.95,0.05,7.04,3703.501
91011,CA,20280,20269,11,99.95,0.05,7099,7095,4,99.94,0.06,11.855,1710.699
91016,CA,40598,40378,220,99.46,0.54,15781,15691,90,99.43,0.57,8.486,4784.123
91020,CA,8415,8415,0,100,0,3586,3586,0,100,0,0.752,11185.037
91024,CA,10917,10917,0,100,0,5113,5113,0,100,0,2.953,3697.529
91030,CA,25616,25616,0,100,0,11116,11116,0,100,0,3.411,7510.503
91040,CA,20372,20368,4,99.98,0.02,7732,7730,2,99.97,0.03,8.202,2483.67
91042,CA,27585,27473,112,99.59,0.41,10534,10476,58,99.45,0.55,49.883,552.995
91046,CA,156,156,0,100,0,118,118,0,100,0,0.01,15590.898
91101,CA,20460,20460,0,100,0,11873,11873,0,100,0,1.325,15445.272
91103,CA,27480,27480,0,100,0,9076,9076,0,100,0,5.366,5121.604
91104,CA,36751,36751,0,100,0,13670,13670,0,100,0,3.803,9664.014
91105,CA,11254,11254,0,100,0,5704,5704,0,100,0,3.694,3046.731
91106,CA,24229,24229,0,100,0,11742,11742,0,100,0,2.951,8210.375
91107,CA,32940,32930,10,99.97,0.03,13763,13760,3,99.98,0.02,8.219,4007.683
91108,CA,13361,13361,0,100,0,4562,4562,0,100,0,3.812,3505.132
91201,CA,22781,22781,0,100,0,8590,8590,0,100,0,2.361,9646.987
91202,CA,22830,22830,0,100,0,9297,9297,0,100,0,2.05,11138.648
91203,CA,13220,13220,0,100,0,5407,5407,0,100,0,0.819,16150.797
91204,CA,16032,16032,0,100,0,5969,5969,0,100,0,1.124,14263.426
91205,CA,37810,37810,0,100,0,14899,14899,0,100,0,1.891,19995.432
91206,CA,33065,33065,0,100,0,14041,14041,0,100,0,5.882,5621.061
91207,CA,10506,10506,0,100,0,4283,4283,0,100,0,4.543,2312.392
91208,CA,16245,16245,0,100,0,6342,6342,0,100,0,6.902,2353.591
91210,CA,328,328,0,100,0,309,309,0,100,0,0.044,7452.091
91214,CA,30356,30060,296,99.02,0.98,10919,10812,107,99.02,0.98,7.547,4022.331
91301,CA,25488,22751,2737,89.26,10.74,9559,8396,1163,87.83,12.17,34.091,747.652
91302,CA,25709,23367,2342,90.89,9.11,9702,8866,836,91.38,8.62,26.696,963.017
91303,CA,26855,26855,0,100,0,9502,9502,0,100,0,2.163,12412.906
91304,CA,50231,50043,188,99.63,0.37,17456,17370,86,99.51,0.49,9.406,5340.595
91306,CA,45061,45061,0,100,0,14389,14389,0,100,0,4.138,10888.753
91307,CA,24474,24015,459,98.12,1.88,8556,8399,157,98.17,1.83,8.045,3042.127
91311,CA,36557,35655,902,97.53,2.47,14021,13645,376,97.32,2.68,32.078,1139.634
91316,CA,26898,26898,0,100,0,12692,12692,0,100,0,5.007,5371.888
91320,CA,44274,44224,50,99.89,0.11,15438,15413,25,99.84,0.16,18.248,2426.278
91321,CA,34882,33943,939,97.31,2.69,11892,11543,349,97.07,2.93,25.881,1347.787
91324,CA,27669,27669,0,100,0,10020,10020,0,100,0,4.391,6300.792
91325,CA,32417,32417,0,100,0,12488,12488,0,100,0,4.821,6723.819
91326,CA,33708,33708,0,100,0,12206,12206,0,100,0,8.159,4131.436
91330,CA,2702,2702,0,100,0,2,2,0,100,0,0.341,7931.413
91331,CA,103689,103689,0,100,0,23780,23780,0,100,0,8.853,11712.683
91335,CA,74363,74363,0,100,0,24158,24158,0,100,0,6.565,11327.949
91340,CA,34188,34188,0,100,0,8623,8623,0,100,0,3.381,10112.485
91342,CA,91725,91439,286,99.69,0.31,24967,24856,111,99.56,0.44,55.101,1664.665
91343,CA,60254,60254,0,100,0,17619,17619,0,100,0,5.911,10193.086
91344,CA,51747,51355,392,99.24,0.76,17444,17298,146,99.16,0.84,16.414,3152.621
91345,CA,18496,18496,0,100,0,5412,5412,0,100,0,3.242,5705.461
91350,CA,33348,32884,464,98.61,1.39,11336,11238,98,99.14,0.86,16.945,1968.059
91351,CA,32362,32096,266,99.18,0.82,10531,10425,106,98.99,1.01,9.571,3381.163
91352,CA,47807,47673,134,99.72,0.28,12620,12566,54,99.57,0.43,11.669,4097.047
91354,CA,28722,28444,278,99.03,0.97,9926,9829,97,99.02,0.98,8.724,3292.21
91355,CA,32605,32543,62,99.81,0.19,13322,13288,34,99.74,0.26,15.475,2106.986
91356,CA,29458,29458,0,100,0,12454,12454,0,100,0,7.334,4016.378
91360,CA,42402,41851,551,98.7,1.3,15515,15308,207,98.67,1.33,14.528,2918.663
91361,CA,20438,19340,1098,94.63,5.37,8738,8343,395,95.48,4.52,33.503,610.038
91362,CA,36045,35981,64,99.82,0.18,14033,14012,21,99.85,0.15,19.617,1837.425
91364,CA,25851,25851,0,100,0,10975,10975,0,100,0,7.593,3404.643
91367,CA,39499,39499,0,100,0,18210,18210,0,100,0,7.441,5308.304
91371,CA,1,1,0,100,0,1,1,0,100,0,0.234,4.268
91377,CA,13811,13811,0,100,0,5297,5297,0,100,0,5.294,2608.562
91381,CA,20158,18257,1901,90.57,9.43,6848,6086,762,88.87,11.13,37.633,535.648
91384,CA,29855,26843,3012,89.91,10.09,7197,6247,950,86.8,13.2,108.561,275.006
91387,CA,40328,39802,526,98.7,1.3,13793,13587,206,98.51,1.49,49.525,814.303
91390,CA,19786,13841,5945,69.95,30.05,6742,4228,2514,62.71,37.29,143.12,138.248
91401,CA,39285,39285,0,100,0,15289,15289,0,100,0,3.453,11376.564
91402,CA,69817,69817,0,100,0,19179,19179,0,100,0,3.727,18732.763
91403,CA,23484,23484,0,100,0,12051,12051,0,100,0,3.631,6467.128
91405,CA,51145,51145,0,100,0,17442,17442,0,100,0,3.309,15456.727
91406,CA,51558,51558,0,100,0,18034,18034,0,100,0,8.132,6340.094
91411,CA,24628,24628,0,100,0,9788,9788,0,100,0,2.042,12058.865
91423,CA,30991,30991,0,100,0,15787,15787,0,100,0,4.363,7103.251
91436,CA,14372,14372,0,100,0,5788,5788,0,100,0,5.696,2523.339
91501,CA,20849,20849,0,100,0,8686,8686,0,100,0,3.967,5255.151
91502,CA,11371,11371,0,100,0,5419,5419,0,100,0,1.335,8520.713
91504,CA,24939,24939,0,100,0,9702,9702,0,100,0,4.936,5052.827
91505,CA,30778,30778,0,100,0,13850,13850,0,100,0,5.04,6106.392
91506,CA,18904,18904,0,100,0,7927,7927,0,100,0,2.447,7725.775
91601,CA,37180,37180,0,100,0,17392,17392,0,100,0,2.65,14028.041
91602,CA,17473,17473,0,100,0,9946,9946,0,100,0,2.047,8534.757
91604,CA,29034,29034,0,100,0,15373,15373,0,100,0,5.152,5635.569
91605,CA,56343,56343,0,100,0,16199,16199,0,100,0,5.464,10311.975
91606,CA,44958,44958,0,100,0,15676,15676,0,100,0,3.333,13490.704
91607,CA,27927,27927,0,100,0,13841,13841,0,100,0,2.439,11447.864
91608,CA,0,0,0,0,0,0,0,0,0,0,0.599,0
91701,CA,38976,38960,16,99.96,0.04,13351,13347,4,99.97,0.03,7.27,5361.231
91702,CA,59705,59377,328,99.45,0.55,16224,16139,85,99.48,0.52,169.36,352.533
91706,CA,76571,76571,0,100,0,18067,18067,0,100,0,13.437,5698.683
91708,CA,3369,3183,186,94.48,5.52,381,319,62,83.73,16.27,9.571,352.01
91709,CA,74796,71290,3506,95.31,4.69,23615,22488,1127,95.23,4.77,34.178,2188.406
91710,CA,80358,80174,184,99.77,0.23,23009,22924,85,99.63,0.37,21.508,3736.123
91711,CA,35705,35677,28,99.92,0.08,12431,12420,11,99.91,0.09,15.01,2378.721
91722,CA,34409,34409,0,100,0,10450,10450,0,100,0,4.131,8329.72
91723,CA,18275,18275,0,100,0,6672,6672,0,100,0,2.32,7876.942
91724,CA,26184,26184,0,100,0,8771,8771,0,100,0,6.234,4200.132
91730,CA,66925,66925,0,100,0,24024,24024,0,100,0,14.474,4623.806
91731,CA,29591,29591,0,100,0,8381,8381,0,100,0,3.814,7758.286
91732,CA,61386,61386,0,100,0,15347,15347,0,100,0,4.615,13300.615
91733,CA,43896,43896,0,100,0,10297,10297,0,100,0,6.681,6570.33
91737,CA,24740,24675,65,99.74,0.26,8399,8382,17,99.8,0.2,8.377,2953.281
91739,CA,34794,34577,217,99.38,0.62,10890,10815,75,99.31,0.69,29.389,1183.903
91740,CA,25356,25356,0,100,0,8724,8724,0,100,0,4.978,5093.741
91741,CA,25824,25642,182,99.3,0.7,9433,9374,59,99.37,0.63,14.818,1742.782
91744,CA,85040,85040,0,100,0,19211,19211,0,100,0,8.79,9675.141
91745,CA,54013,54013,0,100,0,16645,16645,0,100,0,12.808,4217.142
91746,CA,30485,30485,0,100,0,6937,6937,0,100,0,5.57,5473.3
91748,CA,45406,45406,0,100,0,13889,13889,0,100,0,14.468,3138.361
91750,CA,33249,33247,2,99.99,0,12396,12389,7,99.94,0.06,25.234,1317.646
91752,CA,30047,30047,0,100,0,9025,9025,0,100,0,15.087,1991.55
91754,CA,32742,32742,0,100,0,11718,11718,0,100,0,4.533,7223.548
